timestamp_s,angulo_grados
0.2512552738189697,156.99820423989308
0.29593944549560547,157.3260322204826
0.3295266628265381,160.2410674212344
0.36122775077819824,162.2785965159367
0.3882639408111572,164.17455490032077
0.41638755798339844,163.27065235572846
0.44496679306030273,162.35511318637654
0.47162723541259766,162.60411546954404
0.5006992816925049,162.21521301415885
0.5278770923614502,161.70474961600033
0.5603275299072266,160.72360381641067
0.5861279964447021,160.26217816495506
0.6202924251556396,159.98006116065665
0.6593389511108398,158.28752099992207
0.6922905445098877,158.14088513269436
0.7180120944976807,157.7641408690909
0.7472438812255859,157.57697551511882
0.7805991172790527,157.83180657854396
0.8182089328765869,157.69180986575861
0.8566639423370361,157.81419430334563
0.8859302997589111,156.89416090679495
0.913809061050415,156.70390076624085
0.9610443115234375,155.99998237315734
0.988663911819458,156.00038450025684
1.0245909690856934,156.32339102018076
1.056304693222046,156.02621704680433
1.0887696743011475,156.07314096225016
1.1141433715820312,155.76581439109498
1.15419340133667,156.35606536087678
1.190122365951538,154.81881278738626
1.2229416370391846,153.47037896304252
1.250518798828125,151.60080558199846
1.283353328704834,151.52710876783425
1.3154988288879395,150.24725763388383
1.3478481769561768,150.3802682454625
1.390789270401001,150.38287066987158
1.4311766624450684,151.43177711050552
1.4630091190338135,152.22119310915394
1.4935576915740967,152.28075641751045
1.5283277034759521,151.93692458364933
1.5585730075836182,151.60916359495647
1.5891623497009277,151.64956920773503
1.6184844970703125,151.694760061791
1.6575536727905273,152.03592972789073
1.684248924255371,152.54104021872516
1.7097463607788086,154.04466997412501
1.7388522624969482,154.56197469834663
1.7752676010131836,155.5997221677183
1.8218648433685303,155.7878767941189
1.8688526153564453,156.41950919531786
1.89369797706604,157.63199830676007
1.9196276664733887,159.5081851246933
1.94828200340271,160.24634157870994
1.9802758693695068,160.2873692966116
2.0165040493011475,160.95858881814857
2.0497846603393555,161.2374618580387
2.0848071575164795,161.38668772807034
2.108876943588257,161.56257472214014
2.144923448562622,161.57636905603064
2.1770479679107666,162.02620925823695
2.2292094230651855,162.72585716865285
2.2574923038482666,162.52317342810997
2.288665533065796,162.55382625635406
2.3166182041168213,162.66789693779884
2.34891414642334,162.97541606853306
2.383479118347168,163.2731034285146
